morphotype,amount,plot,tree,date,adult/larvae
orth008,1,w1g5p4,melamu,7/19/2016,L
orth019,2,w1g5p4,melamu,7/19/2016,L
orth015,1,w1g5p4,melamu,7/19/2016,L
orth016,3,w1g5p4,melamu,7/19/2016,L
orth019,2,w1g5p4,piptar,7/19/2016,L
orth020,9,w1g5p4,piptar,7/19/2016,L
orth028,1,w1g5p4,piptar,7/19/2016,L
orth012,3,w1g5p4,piptar,7/19/2016,L
orth031,6,w1g5p4,piptar,7/19/2016,L
orth074,1,w1g5p4,piptar,7/19/2016,L
orth044,1,w1g5p4,piptar,7/19/2016,L
orth040,1,w1g5p4,piptar,7/19/2016,A
orth024,2,w1g3p6,ficucp,8/1/2016,A
orth071,1,w1g3p6,ficucp,8/1/2016,L
orth073,1,w1g3p6,melamu,8/1/2016,A
orth027,1,w1g3p6,melamu,8/1/2016,A
orth014,1,w1g3p6,melamu,8/1/2016,A
orth023,1,w1g3p6,melamu,8/1/2016,A
orth023,1,w1g3p6,melamu,8/1/2016,L
orth024,5,w1g3p6,melamu,8/1/2016,L
orth045,2,w1g3p6,melamu,8/1/2016,L
orth019,3,w1g3p6,melamu,8/1/2016,L
orth020,1,w1g3p6,melamu,8/1/2016,L
orth030,1,w1g3p6,melamu,8/1/2016,L
orth013,2,w1g3p6,melamu,8/1/2016,L
orth037,1,w1g3p6,melamu,8/1/2016,L
orth056,1,w1g3p6,melamu,8/1/2016,L
orth089,1,w1g3p6,melamu,8/1/2016,A
orth031,1,w1g3p6,melamu,8/1/2016,L
orth006,1,w1g3p6,manies,8/1/2016,L
orth013,1,w1g3p6,manies,8/1/2016,L
orth015,1,w1g3p6,manies,8/1/2016,L
orth020,1,w1g3p6,manies,8/1/2016,L
orth025,1,w1g3p6,manies,8/1/2016,L
orth008,1,w1g3p6,manies,8/1/2016,L
orth054,2,w1g3p6,manies,8/1/2016,L
orth071,1,w1g3p6,manies,8/1/2016,L
orth026,1,w1g3p6,manies,8/1/2016,A
orth001,2,w1g3p6,macabi,8/1/2016,L
orth016,1,w1g3p6,macabi,8/1/2016,L
orth003,1,w1g3p6,macabi,8/1/2016,A
orth024,1,w1g3p6,macabi,8/1/2016,A
orth024,4,w1g3p6,macabi,8/1/2016,L
orth020,1,w1g3p6,macabi,8/1/2016,L
orth045,3,w1g3p6,macabi,8/1/2016,L
orth051,1,w1g3p6,piptar,8/1/2016,L
orth064,2,w1g3p6,piptar,8/1/2016,A
orth065,1,w1g3p6,piptar,8/1/2016,A
orth026,2,w1g3p6,piptar,8/1/2016,A
orth040,2,w1g3p6,piptar,8/1/2016,A
orth032,1,w1g3p6,piptar,8/1/2016,A
orth080,2,w1g3p6,piptar,8/1/2016,L
orth042,2,w1g3p6,piptar,8/1/2016,L
orth016,1,w1g3p6,piptar,8/1/2016,L
orth020,11,w1g3p6,piptar,8/1/2016,L
orth015,7,w1g3p6,piptar,8/1/2016,L
orth011,1,w1g3p6,piptar,8/1/2016,L
orth024,2,w1g3p6,piptar,8/1/2016,A
orth002,2,w1g3p6,piptar,8/1/2016,A
orth003,2,w1g3p6,piptar,8/1/2016,A
orth018,1,w1g3p6,piptar,8/1/2016,L
orth001,4,w1g3p6,piptar,8/1/2016,L
orth025,5,w1g3p6,piptar,8/1/2016,L
orth028,3,w1g3p6,piptar,8/1/2016,L
orth090,2,w1g3p6,piptar,8/1/2016,L
orth079,1,w1g3p6,piptar,8/1/2016,L
orth033,2,w1g3p6,piptar,8/1/2016,L
orth044,1,w1g3p6,piptar,8/1/2016,L
orth082,2,w1g3p6,piptar,8/1/2016,L
orth012,4,w1g3p6,piptar,8/1/2016,L
orth031,3,w1g3p6,piptar,8/1/2016,L
orth020,1,w1g1p6,pipead,8/16/2016,L
orth018,1,w1g1p6,pipead,8/16/2016,L
orth026,1,w1g1p1,commba,8/19/2016,A
orth024,1,w1g1p1,commba,8/19/2016,L
orth020,1,w1g1p1,commba,8/19/2016,L
orth001,1,w1g1p1,commba,8/19/2016,L
orth015,2,w1g1p1,commba,8/19/2016,L
orth011,10,w1g1p1,commba,8/19/2016,L
orth054,2,w1g1p1,commba,8/19/2016,L
orth051,1,w1g1p1,commba,8/19/2016,L
orth019,1,w1g1p1,commba,8/19/2016,L
orth054,4,w1g1p1,commba,8/19/2016,L
orth015,4,w1g1p1,trems1,8/19/2016,L
orth052,1,w1g1p1,trems1,8/19/2016,L
orth046,1,w1g1p1,trems1,8/19/2016,L
orth020,6,w1g1p1,trems1,8/19/2016,L
orth037,1,w1g1p1,trems1,8/19/2016,L
orth028,2,w1g1p1,trems1,8/19/2016,L
orth066,3,w1g1p1,trems1,8/19/2016,L
orth002,1,w1g1p1,trems1,8/19/2016,A
orth073,1,w1g1p1,trems1,8/19/2016,A
orth091,1,w1g1p1,trems1,8/19/2016,A
orth026,2,w1g1p1,macaqu,8/19/2016,A
orth002,1,w1g1p1,macaqu,8/19/2016,A
orth003,1,w1g1p1,macaqu,8/19/2016,A
orth049,2,w1g1p1,macaqu,8/19/2016,A
orth019,1,w1g1p1,macaqu,8/19/2016,L
orth020,3,w1g1p1,macaqu,8/19/2016,L
orth054,3,w1g1p1,macaqu,8/19/2016,L
orth016,1,w1g1p1,macaqu,8/19/2016,L
orth017,1,w1g1p1,macaqu,8/19/2016,L
orth006,1,w1g1p1,macaqu,8/19/2016,L
orth028,1,w1g1p1,macaqu,8/19/2016,L
orth042,1,w1g1p1,macaqu,8/19/2016,L
orth001,1,w1g4p4,tricpl,7/28/2016,L
orth005,1,w1g4p4,tricpl,7/28/2016,L
orth029,1,w1g4p4,melos1,7/28/2016,L
orth021,2,w1g4p4,melos1,7/28/2016,L
orth044,3,w1g4p4,melos1,7/28/2016,L
orth088,1,w1g4p4,melos1,7/28/2016,L
orth011,7,w1g4p4,melos1,7/28/2016,L
orth001,7,w1g4p4,melos1,7/28/2016,L
orth002,2,w1g4p4,melos1,7/28/2016,A
orth003,6,w1g4p4,melos1,7/28/2016,A
orth027,2,w1g4p4,melos1,7/28/2016,A
orth025,3,w1g4p4,melos1,7/28/2016,L
orth058,1,w1g4p4,melos1,7/28/2016,L
orth082,1,w1g4p4,melos1,7/28/2016,L
orth087,1,w1g4p4,melos1,7/28/2016,L
orth015,13,w1g4p4,melos1,7/28/2016,L
orth018,4,w1g4p4,melos1,7/28/2016,L
orth039,1,w1g4p4,melos1,7/28/2016,A
orth055,2,w1g4p4,melos1,7/28/2016,A
orth057,1,w1g4p4,melos1,7/28/2016,L
orth037,1,w1g4p4,melos1,7/28/2016,L
orth052,1,w1g4p4,melos1,7/28/2016,L
orth092,1,w1g4p4,melos1,7/28/2016,A
orth012,1,w1g4p4,melos1,7/28/2016,L
orth042,2,w1g4p4,melos1,7/28/2016,L
orth093,1,w1g4p4,melos1,7/28/2016,L
orth008,4,w1g2p4,piptar,8/13/2016,L
orth048,1,w1g2p4,piptar,8/13/2016,L
orth042,8,w1g2p4,piptar,8/13/2016,L
orth054,8,w1g2p4,piptar,8/13/2016,L
orth033,1,w1g2p4,piptar,8/13/2016,L
orth040,2,w1g2p4,piptar,8/13/2016,A
orth013,1,w1g2p4,piptar,8/13/2016,L
orth035,1,w1g2p4,piptar,8/13/2016,L
orth051,1,w1g2p4,piptar,8/13/2016,L
orth020,3,w1g2p4,piptar,8/13/2016,L
orth075,1,w1g2p4,piptar,8/13/2016,L
orth015,10,w1g2p4,piptar,8/13/2016,L
orth071,1,w1g2p4,piptar,8/13/2016,L
orth052,1,w1g2p4,piptar,8/13/2016,L
orth001,3,w1g2p4,piptar,8/13/2016,L
orth002,3,w1g2p4,piptar,8/13/2016,A
orth003,3,w1g2p4,piptar,8/13/2016,A
orth007,2,w1g2p4,piptar,8/13/2016,L
orth016,1,w1g2p4,piptar,8/13/2016,L
orth079,1,w1g2p4,piptar,8/13/2016,L
orth058,1,w1g2p4,piptar,8/13/2016,L
orth005,3,w1g2p4,piptar,8/13/2016,L
orth028,1,w1g2p4,piptar,8/13/2016,L
orth094,1,w1g2p4,piptar,8/13/2016,L
orth018,1,w1g1p5,piptar,8/18/2016,L
orth020,1,w1g1p5,piptar,8/18/2016,L
orth079,1,w1g1p5,ficuhi,8/18/2016,L
orth059,1,w1g1p5,melamu,8/18/2016,A
orth015,1,w1g1p5,melamu,8/18/2016,L
orth052,1,w1g1p5,melamu,8/18/2016,L
orth052,1,w1g1p5,trems1,8/18/2016,L
orth028,1,w1g1p5,trems1,8/18/2016,L
orth050,1,w1g1p5,trems1,8/18/2016,L
orth051,1,w1g1p5,trems1,8/18/2016,L
orth020,7,w1g1p5,trems1,8/18/2016,L
orth013,1,w1g1p5,trems1,8/18/2016,L
orth027,1,w1g4p1,macata,7/27/2016,A
orth018,1,w1g4p1,macata,7/27/2016,L
orth057,1,w1g4p1,macata,7/27/2016,L
orth001,1,w1g4p1,tricpl,7/27/2016,L
orth033,1,w1g4p1,tricpl,7/27/2016,L
orth006,1,w1g4p1,tricpl,7/27/2016,L
orth058,1,w1g4p1,manies,7/27/2016,L
orth013,1,w1g4p1,manies,7/27/2016,L
orth020,8,w1g4p1,manies,7/27/2016,L
orth032,1,w1g4p1,melamu,7/27/2016,L
orth006,1,w1g4p1,melamu,7/27/2016,L
orth019,1,w1g4p1,melamu,7/27/2016,L
orth022,1,w1g4p1,melamu,7/27/2016,L
orth025,1,w1g4p1,melamu,7/27/2016,L
orth001,28,w1g4p1,melos1,7/27/2016,L
orth002,12,w1g4p1,melos1,7/27/2016,A
orth003,15,w1g4p1,melos1,7/27/2016,A
orth004,1,w1g4p1,melos1,7/27/2016,L
orth019,18,w1g4p1,melos1,7/27/2016,L
orth020,3,w1g4p1,melos1,7/27/2016,L
orth021,1,w1g4p1,melos1,7/27/2016,L
orth022,2,w1g4p1,melos1,7/27/2016,L
orth027,1,w1g4p1,melos1,7/27/2016,A
orth024,1,w1g4p1,melos1,7/27/2016,A
orth024,2,w1g4p1,melos1,7/27/2016,L
orth037,1,w1g4p1,melos1,7/27/2016,L
orth033,1,w1g4p1,melos1,7/27/2016,L
orth011,4,w1g4p1,melos1,7/27/2016,L
orth015,4,w1g4p1,melos1,7/27/2016,L
orth044,3,w1g4p1,melos1,7/27/2016,L
orth052,1,w1g4p1,melos1,7/27/2016,L
orth012,4,w1g4p1,melos1,7/27/2016,L
orth074,5,w1g4p1,melos1,7/27/2016,L
orth042,3,w1g4p1,melos1,7/27/2016,L
orth025,1,w1g4p1,melos1,7/27/2016,A
orth025,3,w1g4p1,melos1,7/27/2016,L
orth028,8,w1g4p1,melos1,7/27/2016,L
orth007,2,w1g4p1,melos1,7/27/2016,L
orth049,1,w1g4p1,melos1,7/27/2016,A
orth083,1,w1g4p1,melos1,7/27/2016,A
orth058,2,w1g4p1,melos1,7/27/2016,L
orth013,1,w1g4p1,melos1,7/27/2016,L
orth076,1,w1g4p1,melos1,7/27/2016,L
orth008,1,w1g4p1,melos1,7/27/2016,L
orth019,2,w1g6p2,tricpl,7/13/2016,L
orth029,1,w1g6p2,tricpl,7/13/2016,L
orth001,1,w1g6p2,macata,7/13/2016,L
orth024,1,w1g6p2,macata,7/13/2016,L
orth028,1,w1g6p2,macata,7/13/2016,L
orth028,1,w1g6p2,premob,7/13/2016,L
orth001,1,w1g6p2,premob,7/13/2016,L
orth019,1,w1g6p2,premob,7/13/2016,L
orth015,1,w1g6p2,premob,7/13/2016,L
orth015,2,w1g6p2,breyce,7/13/2016,L
orth046,1,w1g6p2,breyce,7/13/2016,L
orth043,1,w1g6p2,breyce,7/13/2016,L
orth018,1,w1g6p2,breyce,7/13/2016,L
orth024,1,w1g6p2,breyce,7/13/2016,A
orth089,1,w1g6p2,breyce,7/13/2016,A
orth026,1,w1g6p2,tremor,7/13/2016,A
orth033,1,w1g6p2,tremor,7/13/2016,L
orth001,3,w1g6p2,tremor,7/13/2016,L
orth015,1,w1g6p2,tremor,7/13/2016,L
orth054,1,w1g6p2,tremor,7/13/2016,L
orth046,1,w1g6p2,melamu,7/13/2016,L
orth020,1,w1g6p2,melamu,7/13/2016,L
orth045,2,w1g6p2,melamu,7/13/2016,L
orth015,1,w1g6p2,melamu,7/13/2016,L
orth001,3,w1g6p2,melamu,7/13/2016,L
orth021,1,w1g6p2,melamu,7/13/2016,L
orth019,1,w1g6p2,melamu,7/13/2016,L
orth043,1,w1g6p2,melamu,7/13/2016,L
orth050,2,w1g6p2,melamu,7/13/2016,L
orth024,6,w1g6p2,melamu,7/13/2016,L
orth024,6,w1g6p2,melamu,7/13/2016,A
orth014,1,w1g6p2,melamu,7/13/2016,A
orth014,1,w1g6p2,piptar,7/13/2016,A
orth002,1,w1g6p2,piptar,7/13/2016,A
orth003,1,w1g6p2,piptar,7/13/2016,A
orth024,2,w1g6p2,piptar,7/13/2016,A
orth095,1,w1g6p2,piptar,7/13/2016,A
orth040,1,w1g6p2,piptar,7/13/2016,A
orth013,1,w1g6p2,piptar,7/13/2016,L
orth019,3,w1g6p2,piptar,7/13/2016,L
orth020,2,w1g6p2,piptar,7/13/2016,L
orth050,3,w1g6p2,piptar,7/13/2016,L
orth015,2,w1g6p2,piptar,7/13/2016,L
orth025,1,w1g6p2,piptar,7/13/2016,L
orth028,3,w1g6p2,piptar,7/13/2016,L
orth029,2,w1g6p2,piptar,7/13/2016,L
orth044,2,w1g6p2,piptar,7/13/2016,L
orth071,1,w1g6p2,piptar,7/13/2016,L
orth051,2,w1g6p2,piptar,7/13/2016,L
orth012,4,w1g6p2,piptar,7/13/2016,L
orth058,2,w1g6p2,piptar,7/13/2016,L
orth066,1,w1g6p2,piptar,7/13/2016,L
orth079,1,w1g6p2,piptar,7/13/2016,L
orth054,4,w1g6p2,piptar,7/13/2016,L
orth048,1,w1g6p2,piptar,7/13/2016,L
orth042,2,w1g6p2,piptar,7/13/2016,L
orth008,3,w1g6p1,piptar,7/15/2016,L
orth012,1,w1g6p1,piptar,7/15/2016,L
orth019,2,w1g6p1,piptar,7/15/2016,L
orth044,2,w1g6p1,piptar,7/15/2016,L
orth054,1,w1g6p1,piptar,7/15/2016,L
orth001,1,w1g6p1,tremor,7/15/2016,L
orth013,1,w1g6p1,tremor,7/15/2016,L
orth016,1,w1g6p1,tremor,7/15/2016,L
orth032,1,w1g4p5,manies,7/29/2016,A
orth040,1,w1g4p5,melos1,7/29/2016,A
orth074,2,w1g4p5,melos1,7/29/2016,L
orth026,2,w1g4p5,melos1,7/29/2016,A
orth065,1,w1g4p5,melos1,7/29/2016,A
orth055,3,w1g4p5,melos1,7/29/2016,A
orth052,2,w1g4p5,melos1,7/29/2016,L
orth015,1,w1g4p5,melos1,7/29/2016,L
orth011,1,w1g4p5,melos1,7/29/2016,L
orth044,4,w1g4p5,melos1,7/29/2016,L
orth021,1,w1g4p5,melos1,7/29/2016,L
orth046,1,w1g4p5,melos1,7/29/2016,L
orth012,3,w1g4p5,melos1,7/29/2016,L
orth031,6,w1g4p5,melos1,7/29/2016,L
orth001,1,w1g4p5,melos1,7/29/2016,L
orth018,1,w1g4p5,melos1,7/29/2016,L
orth003,1,w1g4p5,melos1,7/29/2016,A
orth034,1,w1g5p2,solanum,7/16/2016,A
orth020,1,w1g5p2,solanum,7/16/2016,L
orth043,1,w1g5p2,solanum,7/16/2016,L
orth073,1,w1g5p2,melamu,7/16/2016,A
orth034,1,w1g5p2,melamu,7/16/2016,A
orth060,1,w1g5p2,melamu,7/16/2016,A
orth003,2,w1g5p2,melamu,7/16/2016,A
orth024,1,w1g5p2,melamu,7/16/2016,A
orth066,1,w1g5p2,melamu,7/16/2016,L
orth019,1,w1g5p2,melamu,7/16/2016,L
orth012,1,w1g5p2,melamu,7/16/2016,L
orth020,1,w1g5p2,melamu,7/16/2016,L
orth043,2,w1g5p2,melamu,7/16/2016,L
orth044,1,w1g5p2,melamu,7/16/2016,L
orth028,4,w1g5p2,melamu,7/16/2016,L
orth001,2,w1g5p2,piptar,7/16/2016,L
orth019,1,w1g5p2,piptar,7/16/2016,L
orth020,9,w1g5p2,piptar,7/16/2016,L
orth022,1,w1g5p2,piptar,7/16/2016,L
orth031,1,w1g5p2,piptar,7/16/2016,L
orth003,1,w1g5p2,piptar,7/16/2016,A
orth024,1,w1g5p2,piptar,7/16/2016,A
orth004,2,w1g5p2,trems1,7/16/2016,L
orth015,1,w1g5p2,trems1,7/16/2016,L
orth019,4,w1g5p2,trems1,7/16/2016,L
orth020,28,w1g5p2,trems1,7/16/2016,L
orth028,1,w1g5p2,trems1,7/16/2016,L
orth023,1,w1g5p2,trems1,7/16/2016,L
orth023,1,w1g5p2,trems1,7/16/2016,A
orth020,1,w1g6p6,breyce,7/12/2016,L
orth074,1,w1g6p6,breyce,7/12/2016,L
orth086,1,w1g6p6,breyce,7/12/2016,L
orth026,1,w1g6p6,tricpl,7/12/2016,A
orth027,1,w1g6p6,tricpl,7/12/2016,A
orth002,1,w1g6p6,tricpl,7/12/2016,A
orth024,1,w1g6p6,tricpl,7/12/2016,A
orth019,1,w1g6p6,tricpl,7/12/2016,L
orth020,3,w1g6p6,tricpl,7/12/2016,L
orth043,1,w1g6p6,tricpl,7/12/2016,L
orth031,1,w1g6p6,melamu,7/12/2016,L
orth018,1,w1g6p6,melamu,7/12/2016,L
orth066,1,w1g6p6,melamu,7/12/2016,L
orth002,1,w1g6p6,melamu,7/12/2016,A
orth002,1,w1g6p6,piptar,7/12/2016,A
orth019,2,w1g6p6,piptar,7/12/2016,L
orth020,2,w1g6p6,piptar,7/12/2016,L
orth043,1,w1g6p6,piptar,7/12/2016,L
orth013,2,w1g6p6,piptar,7/12/2016,L
orth031,1,w1g6p6,piptar,7/12/2016,L
orth074,1,w1g6p6,piptar,7/12/2016,L
orth001,2,w1g2p2,tremor,,
orth002,5,w1g2p2,tremor,,
orth003,2,w1g2p2,tremor,,
orth004,1,w1g2p2,tremor,,
orth005,1,w1g2p2,tremor,,
orth005,1,w1g2p2,tremor,,
orth007,1,w1g2p2,tremor,,
orth008,1,w1g2p2,tremor,,
orth009,1,w1g2p2,tremor,,
orth010,1,w1g2p2,tremor,,
orth011,8,w1g2p2,tremor,,L
orth012,1,w1g5p6,piptar,,
orth013,1,w1g5p6,piptar,,
orth002,1,w1g5p6,piptar,,
orth006,1,w1g5p6,piptar,,
orth014,1,w1g5p6,piptar,,
orth015,1,w1g5p6,tricpl,,
orth016,1,w1g5p6,tricpl,,
orth017,1,w1g5p6,tricpl,,
orth018,1,w1g4p6,macata,,
orth019,1,w1g4p6,caripa,,
orth020,1,w1g4p6,caripa,,
orth021,1,w1g4p6,caripa,,
orth015,1,w1g4p6,cordte,,
orth016,1,w1g4p6,cordte,,
orth015,1,w1g4p6,premob,,
orth022,1,w1g4p6,premob,,
orth020,1,w1g4p6,premob,,
orth014,1,w1g4p6,premob,,
orth023,2,w1g4p6,premob,,
orth024,1,w1g4p6,premob,,
orth025,1,w1g4p6,premob,,
orth026,1,w1g4p6,premob,,
orth019,1,w1g4p6,melamu,,
orth025,2,w1g4p6,melamu,,
orth003,1,w1g4p6,melamu,,
orth027,1,w1g4p6,melamu,,
orth015,1,w1g4p6,tricpl,,
orth007,1,w1g4p6,tricpl,,
orth028,1,w1g4p6,tricpl,,
orth011,2,w1g4p6,melos1,L,
orth003,4,w1g4p6,melos1,,
orth015,1,w1g4p6,melos1,,
orth006,1,w1g4p6,melos1,,
orth019,3,w1g4p6,melos1,,
orth021,1,w1g4p6,melos1,,
orth020,1,w1g4p6,melos1,,
orth023,1,w1g4p6,melos1,,
orth005,1,w1g4p6,melos1,,
orth029,1,w1g4p6,melos1,,
orth030,1,w1g4p6,melos1,,
orth031,1,w1g4p6,melos1,,
orth012,2,w1g4p6,melos1,,
orth031,2,w1g4p6,melos1,,
aran011,1,w1g5p5,macaqu,,
orth032,1,w1g5p5,macaqu,,
orth015,1,w1g5p5,ficuco,,
orth020,1,w1g5p5,prems1,,
homo011,1,w1g1p3,trems1,8/17/2016,
homo003,1,w1g5p4,melamu,7/19/2016,A
homo021,2,w1g5p2,trems1,7/16/2016,
hemi020,1,w1g6p5,piptar,7/11/2016,
hemi073,1,w1g5p4,melamu,7/19/2016,
hemi078,1,w1g4p4,melos1,7/28/2016,
hemi078,1,w1g4p6,melos1,7/25/2016,
hemi078,1,w1g5p1,tricpl,7/20/2016,
hemi078,1,w1g5p5,piptar,7/22/2016,
hemi083,1,w1g3p6,melamu,8/1/2016,
hemi081,1,w1g3p1,piptar,8/3/2016,
hemi016,1,w1g5p5,piptar,7/22/2016,
hemi089,1,w1g5p5,piptar,7/22/2016,
hemi031,1,w1g5p2,trems1,7/16/2016,
hemi090,1,w1g6p5,melamu,7/11/2016,
hemi091,1,w1g3p6,piptar,8/1/2016,
hemi092,1,w1g5p2,piptar,7/16/2016,
hemi008,1,w1g4p6,melamu,7/25/2016,
hemi059,3,w1g1p4,piptar,8/20/2016,
hemi059,5,w1g2p4,piptar,8/13/2016,
hemi059,2,w1g1p3,piptar,8/17/2016,
hemi006,1,w1g6p5,piptar,7/11/2016,
hemi031,1,w1g5p3,piptar,7/18/2016,
hemi016,1,w1g5p1,macata,7/20/2016,
hemi059,1,w1g6p6,piptar,7/12/2016,
hemi093,1,w1g6p5,tremor,7/11/2016,
hemi006,1,w1g6p4,premob,7/9/2016,
hemi053,1,w1g6p5,piptar,7/11/2016,
hemi031,1,w1g2p6,vitelo,8/6/2016,
hemi092,1,w1g3p5,piptar,8/2/2016,
hemi031,1,w1g6p2,melamu,7/13/2016,
hemi006,2,w1g6p4,tricpl,7/9/2016,
hemi036,1,w1g4p6,premob,7/25/2016,
hemi009,1,w1g4p1,melos1,7/27/2016,
hemi039,1,w1g4p1,melos1,7/27/2016,
hemi093,1,w1g6p5,tremor,7/11/2016,
hemi094,4,w1g4p2,piptar,7/26/2016,
hemi094,2,w1g2p5,piptar,8/12/2016,
hemi094,43,w1g6p2,piptar,7/13/2016,
hemi094,14,w1g3p6,piptar,8/1/2016,
hemi094,1,w1g1p5,commba,8/18/2016,
hemi094,105,w1g2p6,piptar,8/13/2016,
hemi094,32,w1g1p4,piptar,8/20/2016,
hemi094,2,w1g5p5,piptar,7/22/2016,
hemi094,1,w1g6p4,melamu,7/9/2016,
hemi094,4,w1g2p2,tremor,8/10/2016,
hemi094,13,w1g3p1,piptar,8/3/2016,
hemi094,1,w1g6p2,tricpl,7/13/2016,
hemi094,13,w1g3p2,piptar,8/5/2016,
hemi094,1,w1g5p2,piptar,7/16/2016,
hemi094,22,w1g6p3,piptar,7/14/2016,
hemi094,3,w1g6p1,piptar,7/15/2016,
hemi094,1,w1g2p6,piptar,8/6/2016,
hemi094,33,w1g6p5,piptar,7/11/2016,
hemi094,11,w1g1p3,piptar,8/17/2016,
hemi094,2,w1g6p5,tricpl,7/11/2016,
hemi094,1,w1g4p2,melamu,7/26/2016,
hemi094,9,w1g3p3,piptar,8/4/2016,
hemi094,3,w1g3p4,piptar,7/30/2016,
hemi094,1,w1g1p2,trems1,8/15/2016,
hemi094,5,w1g1p5,piptar,8/18/2016,
hemi094,2,w1g6p6,piptar,7/12/2016,
hemi094,8,w1g6p4,tremor,7/14/2016,
hemi094,28,w1g3p5,piptar,8/2/2016,
hemi094,7,w1g6p4,tremor,7/9/2016,
hemi094,2,w1g6p5,tremor,7/11/2016,
aran009,1,w1g5p4,piptar,7/19/2016,
aran009,1,w1g2p4,piptar,8/13/2016,
aran036,1,w1g2p4,piptar,8/13/2016,
aran040,1,w1g2p4,piptar,8/13/2016,
aran073,1,w1g4p1,melos1,7/27/2016,
aran073,1,w1g5p2,melamu,7/16/2016,
aran019,1,w1g1p1,commba,8/19/2016,
aran019,1,w1g6p2,tremor,7/13/2016,
aran019,1,w1g4p4,melos1,7/28/2016,
aran023,1,w1g3p3,piptar,8/4/2016,
aran032,1,w1g4p2,piptar,7/26/2016,
aran033,1,w1g6p6,piptar,7/12/2016,
aran043,1,w1g5p5,piptar,7/22/2016,
aran079,1,w1g1p1,commba,8/19/2016,
aran084,1,w1g4p4,melos1,7/28/2016,
aran123,1,w1g6p4,melamu,7/9/2016,
aran067,1,w1g6p5,piptar,7/11/2016,
aran067,1,w1g6p2,melamu,7/13/2016,
aran075,1,w1g3p3,piptar,8/4/2016,
aran074,1,w1g4p6,melamu,7/25/2016,
aran020,1,w1g5p5,tricpl,7/9/2016,
hemi001,23,w1g6p4,tremor,,
hemi002,1,w1g6p4,tremor,,
homo001,2,w1g6p4,tremor,,
homo002,4,w1g6p4,tremor,,
homo003,2,w1g6p4,tremor,,
homo004,1,w1g6p4,tremor,,
homo005,1,w1g6p4,tremor,,
hemi003,1,w1g6p4,tremor,,
hemi004,2,w1g6p4,tremor,,
hemi005,1,w1g6p4,tremor,,
hemi006,5,w1g6p4,tremor,,
hemi007,1,w1g6p4,tremor,,
homo003,1,w1g6p4,melamu,,
homo001,1,w1g6p4,melamu,,
homo002,3,w1g6p4,melamu,,
homo004,4,w1g6p4,melamu,,
hemi006,2,w1g6p4,melamu,,
hemi003,1,w1g6p4,melamu,,
hemi001,3,w1g6p4,melamu,,
hemi008,13,w1g6p4,melamu,,
hemi009,8,w1g6p4,melamu,,
hemi010,3,w1g6p4,melamu,,
hemi011,13,w1g6p4,melamu,,
hemi012,13,w1g6p4,melamu,,
hemi001,3,w1g6p4,tricpl,,
hemi004,2,w1g6p4,tricpl,,
homo003,1,w1g6p4,tricpl,,
homo004,6,w1g6p4,tricpl,,
homo002,7,w1g6p4,tricpl,,
homo002,5,w1g6p4,premob,,
homo004,2,w1g6p4,premob,,
homo003,1,w1g6p4,premob,,
hemi012,1,w1g6p4,premob,,
hemi002,2,w1g3p2,piptar,,
hemi001,1,w1g3p2,piptar,,
hemi006,3,w1g3p2,piptar,,
hemi020,1,w1g3p2,piptar,,
homo001,3,w1g3p2,piptar,,
homo004,30,w1g3p2,piptar,,
homo006,5,w1g3p2,piptar,,
homo007,1,w1g3p2,piptar,,
hemi009,1,w1g3p2,piptar,,
hemi013,1,w1g3p2,piptar,,
hemi014,4,w1g3p2,piptar,,
hemi015,1,w1g3p2,piptar,,
hemi016,1,w1g3p2,piptar,,
hemi017,7,w1g3p2,piptar,,
hemi018,1,w1g3p2,piptar,,
homo008,2,w1g3p2,piptar,,
homo009,3,w1g3p2,piptar,,
homo010,1,w1g3p2,piptar,,
homo004,1,w1g3p2,homano,,
homo008,1,w1g3p2,melamu,,
homo004,26,w1g3p2,melamu,,
hemi012,1,w1g3p2,melamu,,
hemi009,2,w1g3p2,melamu,,
homo005,2,w1g3p2,ficucp,,
homo004,29,w1g3p2,ficucp,,
hemi012,1,w1g3p2,ficucp,,
hemi014,2,w1g3p2,ficucp,,
hemi017,2,w1g3p2,ficucp,,
hemi019,10,w1g3p2,ficucp,,
hemi021,2,w1g3p2,ficucp,,
homo008,3,w1g3p2,ficucp,,
hemi022,1,w1g3p2,ficucp,,
homo005,1,w1g1p4,piptar,,
homo004,1,w1g1p4,piptar,,
homo001,1,w1g1p4,cordte,,
homo004,1,w1g1p4,commba,,
homo004,1,w1g1p4,trems1,,
hemi023,1,w1g1p4,trems1,,
homo011,8,w1g1p4,trems1,,
homo011,4,w1g1p4,piptar,,
homo004,1,w1g4p6,macata,,
hemi012,1,w1g4p6,macata,,
homo012,1,w1g4p6,tricpl,,
homo004,11,w1g4p6,tricpl,,
homo002,1,w1g4p6,tricpl,,
hemi024,1,w1g4p6,tricpl,,
homo004,1,w1g4p6,melamu,,
homo001,1,w1g4p6,melamu,,
hemi011,15,w1g4p6,melamu,,
hemi010,15,w1g4p6,melamu,,
hemi012,19,w1g4p6,melamu,,
hemi009,48,w1g4p6,melamu,,
hemi008,47,w1g4p6,melamu,,
hemi025,1,w1g4p6,melamu,,
hemi026,1,w1g4p6,melamu,,
